Rank,Team,TotalPoints
1,Brazil,1611
2,Spain,1565
3,Portugal,1249
4,Netherlands,1221
5,Italy,1184
6,Germany,1107
7,Argentina,1084
8,England,1068
9,France,1044
10,Croatia,1052
11,Russia,1003
12,Egypt,967
13,Greece,968
14,United States,950
15,Serbia,944
16,Uruguay,902
17,Mexico,936
18,Chile,948
19,Cameroon,887
20,Australia,883
21,Nigeria,883
22,Norway,879
23,Ukraine,855
24,Switzerland,854
25,Slovenia,860
26,Israel,857
27,Ivory Coast,846
28,Romania,843
29,Turkey,798
30,Algeria,821
31,Paraguay,822
32,Ghana,802
33,Czech Republic,827
34,Slovakia,742
35,Colombia,777
36,Denmark,767
37,Sweden,757
38,Honduras,727
39,Bulgaria,740
40,Costa Rica,706
41,Republic of Ireland,690
42,Gabon,707
43,Scotland,684
44,Ecuador,763
45,Japan,674
46,Latvia,652
47,South Korea,619
48,Burkina Faso,589
49,Venezuela,605
49,Lithuania,616
51,Bosnia and Herzegovina,604
52,Finland,605
53,Peru,579
54,Mali,575
55,Tunisia,574
56,Northern Ireland,555
57,Hungary,567
58,Poland,552
59,Belgium,518
60,Benin,531
61,Iran,521
61,FYR Macedonia,521
63,Canada,516
64,Montenegro,500
65,Bolivia,491
66,Saudi Arabia,495
67,Cyprus,488
68,Austria,509
69,Bahrain,475
70,Morocco,469
71,Zambia,452
72,El Salvador,452
73,Uganda,437
74,Panama,421
75,Senegal,414
76,Togo,438
77,Wales,429
78,New Zealand,413
79,Albania,406
80,Iraq,394
81,Jamaica,412
82,Belarus,397
83,South Africa,369
84,China PR,390
85,Mozambique,378
86,Malawi,394
87,Guinea,381
88,Angola,390
89,Moldova,392
90,Iceland,367
91,Haiti,381
91,Oman,346
93,Gambia,361
94,Uzbekistan,354
95,Trinidad and Tobago,367
96,Qatar,351
97,Kuwait,348
98,Syria,342
99,Estonia,296
100,Armenia,311
101,United Arab Emirates,310
102,Libya,305
103,Congo,308
104,Jordan,301
105,North Korea,292